500 2500
331 93 0.200000
331 256 0.500000
331 327 0.250000
231 281 0.250000
231 160 0.142857
231 47 0.166667
281 63 0.200000
281 94 0.142857
281 306 0.250000
371 229 0.500000
371 26 0.166667
371 288 0.333333
371 301 0.166667
371 13 0.125000
371 36 0.125000
371 382 0.125000
229 234 0.250000
229 330 0.111111
229 97 0.100000
229 459 0.090909
411 97 0.100000
411 62 0.200000
411 389 0.200000
411 83 0.250000
411 77 0.200000
411 199 0.200000
411 477 0.142857
97 310 0.166667
97 476 0.142857
97 415 0.333333
97 171 0.200000
97 448 0.500000
97 169 0.125000
97 273 0.166667
97 221 0.250000
97 244 0.500000
477 82 0.250000
477 467 0.200000
477 362 0.333333
477 156 0.250000
477 308 0.200000
477 446 0.250000
82 41 0.100000
82 214 0.125000
82 474 0.125000
82 370 0.166667
82 432 0.200000
82 297 0.166667
82 299 0.333333
82 335 0.250000
82 110 0.090909
15 309 0.125000
15 475 0.200000
15 477 0.142857
15 437 0.142857
15 129 0.111111
15 87 0.166667
15 483 0.125000
15 392 0.166667
15 463 0.200000
309 169 0.125000
309 266 0.200000
490 437 0.142857
490 491 0.166667
490 86 0.125000
490 27 0.500000
490 396 0.333333
490 415 0.333333
490 2 0.250000
437 122 0.200000
437 345 0.200000
19 408 0.142857
19 277 1.000000
19 129 0.111111
19 321 0.166667
19 492 0.333333
19 242 0.125000
19 111 0.200000
408 270 0.111111
408 460 0.200000
408 275 0.142857
214 59 0.166667
214 434 0.250000
214 166 0.166667
214 180 0.250000
214 250 0.125000
214 228 0.111111
214 376 0.166667
59 196 0.090909
59 444 0.166667
59 116 0.250000
383 298 0.250000
383 368 0.200000
383 148 0.166667
383 266 0.200000
383 217 0.100000
383 176 0.125000
383 137 0.166667
383 358 0.142857
383 293 0.166667
298 417 0.200000
298 192 0.166667
298 287 0.200000
298 497 0.166667
298 218 0.250000
298 276 0.111111
298 119 0.200000
298 187 0.250000
298 115 0.200000
298 139 0.250000
55 198 0.166667
55 306 0.250000
55 283 0.166667
55 484 0.111111
55 435 0.250000
55 475 0.200000
55 419 0.166667
55 342 0.166667
198 188 0.142857
198 365 0.500000
198 352 0.142857
198 104 0.250000
198 326 0.500000
198 328 0.166667
198 451 0.125000
198 60 0.166667
290 347 0.142857
347 274 0.166667
347 90 0.100000
113 386 0.125000
113 138 0.333333
113 16 0.250000
113 34 0.333333
113 499 0.166667
386 401 0.200000
386 480 0.250000
386 285 0.333333
452 497 0.166667
452 67 0.500000
452 356 0.500000
452 203 0.111111
452 484 0.111111
452 18 0.111111
497 445 0.500000
497 368 0.200000
22 394 0.333333
22 167 0.500000
22 287 0.200000
22 387 0.200000
22 265 0.200000
22 132 0.200000
22 5 0.500000
22 412 0.111111
22 435 0.250000
22 176 0.125000
394 266 0.200000
394 32 0.333333
394 447 0.125000
120 232 0.250000
120 463 0.200000
120 134 0.200000
120 433 0.111111
120 323 0.125000
120 480 0.250000
120 158 0.333333
232 279 0.142857
232 8 0.125000
232 473 0.250000
232 195 0.200000
202 258 0.250000
202 188 0.142857
202 114 0.166667
202 377 0.166667
202 293 0.166667
258 320 0.125000
258 379 0.200000
258 127 0.200000
258 313 0.333333
258 185 0.500000
258 122 0.200000
188 379 0.200000
379 474 0.125000
379 127 0.200000
379 333 0.333333
379 214 0.125000
246 94 0.142857
246 4 0.250000
94 50 0.200000
94 474 0.125000
94 12 0.142857
94 269 0.250000
2 343 0.125000
2 425 0.200000
2 485 0.250000
343 50 0.200000
343 167 0.500000
440 485 0.250000
440 53 0.250000
440 148 0.166667
440 397 0.200000
440 304 0.125000
440 200 0.166667
440 153 0.090909
440 351 0.333333
485 92 0.200000
485 160 0.142857
485 263 0.200000
144 248 0.250000
144 416 0.250000
144 303 0.166667
144 14 0.166667
144 123 0.200000
248 137 0.166667
248 344 0.250000
248 305 0.250000
248 469 0.250000
248 357 0.142857
248 444 0.166667
306 408 0.142857
306 297 0.166667
306 81 0.125000
306 3 0.142857
306 161 0.200000
118 20 0.166667
118 367 0.166667
118 306 0.250000
20 316 0.200000
20 66 0.200000
20 198 0.166667
427 64 0.166667
427 80 0.142857
427 278 0.200000
427 108 0.250000
427 75 0.125000
427 174 0.166667
427 360 0.111111
64 87 0.166667
64 261 0.125000
64 447 0.125000
64 105 0.125000
266 33 0.333333
266 179 0.125000
266 316 0.200000
266 280 0.250000
484 362 0.333333
484 51 0.142857
484 298 0.250000
484 223 0.142857
362 377 0.166667
362 378 0.333333
46 307 0.166667
46 92 0.200000
46 273 0.166667
307 311 0.200000
307 137 0.166667
307 321 0.166667
307 75 0.125000
307 348 0.333333
307 169 0.125000
307 377 0.166667
307 447 0.125000
307 15 0.250000
475 254 0.500000
475 401 0.200000
475 86 0.125000
475 139 0.250000
475 426 0.250000
475 89 0.200000
475 81 0.125000
254 409 0.333333
254 191 0.142857
254 64 0.166667
254 146 0.142857
254 23 0.142857
254 289 0.333333
254 136 0.200000
254 192 0.166667
254 366 0.200000
269 265 0.200000
269 427 0.200000
269 326 0.500000
269 221 0.250000
269 106 0.125000
265 454 0.125000
265 317 0.166667
83 377 0.166667
83 193 0.166667
83 492 0.333333
83 9 0.142857
83 114 0.166667
83 479 0.200000
83 252 0.250000
83 411 0.166667
173 20 0.166667
173 309 0.125000
173 325 0.500000
173 133 0.166667
9 457 0.200000
9 450 0.100000
9 30 0.250000
9 126 0.333333
9 16 0.250000
457 430 0.500000
457 217 0.100000
457 6 0.333333
457 226 0.125000
457 71 0.166667
117 228 0.111111
117 464 0.200000
117 152 0.333333
117 439 0.200000
117 408 0.142857
228 385 0.166667
228 353 0.166667
228 148 0.166667
228 450 0.100000
86 358 0.142857
86 398 0.250000
86 330 0.111111
86 207 0.142857
358 12 0.142857
358 324 0.200000
358 490 0.125000
358 353 0.166667
358 433 0.111111
358 477 0.142857
317 282 0.142857
317 57 0.090909
317 362 0.333333
317 154 0.500000
317 3 0.142857
317 130 0.125000
317 266 0.200000
317 465 0.333333
317 251 0.111111
282 285 0.333333
282 463 0.200000
244 397 0.200000
244 493 0.142857
244 498 0.250000
244 80 0.142857
244 412 0.111111
244 230 0.142857
244 134 0.200000
397 102 0.142857
397 479 0.200000
397 486 0.250000
316 354 0.200000
316 175 0.200000
316 358 0.142857
316 55 0.333333
476 425 0.200000
476 449 0.250000
476 153 0.090909
476 196 0.090909
425 447 0.125000
425 201 0.166667
425 459 0.090909
425 366 0.200000
425 171 0.200000
425 214 0.125000
425 416 0.250000
425 329 0.166667
425 160 0.142857
425 60 0.166667
425 266 0.200000
249 135 0.250000
249 189 0.250000
249 85 0.200000
249 338 0.250000
249 355 0.250000
249 105 0.125000
429 86 0.125000
429 76 0.166667
429 432 0.200000
429 124 0.142857
429 57 0.090909
429 215 0.142857
429 222 0.200000
361 363 0.111111
361 29 0.142857
361 459 0.090909
361 334 0.125000
361 330 0.111111
361 322 0.250000
363 402 0.142857
363 212 0.250000
363 342 0.166667
110 82 0.250000
110 235 0.142857
110 124 0.142857
93 318 1.000000
93 381 0.100000
93 257 0.250000
318 317 0.166667
318 380 0.200000
318 79 0.250000
318 84 0.500000
318 166 0.166667
318 188 0.142857
318 156 0.250000
227 57 0.090909
227 97 0.100000
227 146 0.142857
227 36 0.125000
227 23 0.142857
227 242 0.125000
227 187 0.250000
57 51 0.142857
57 495 0.142857
57 130 0.125000
57 303 0.166667
463 135 0.250000
463 418 0.200000
463 376 0.166667
463 209 0.333333
463 39 0.333333
463 142 0.100000
463 269 0.250000
49 245 0.142857
49 198 0.166667
49 462 0.166667
49 79 0.250000
245 330 0.111111
245 172 0.142857
245 48 0.083333
245 250 0.125000
447 407 0.142857
447 215 0.142857
447 97 0.100000
364 468 0.166667
364 260 0.200000
364 65 0.333333
364 352 0.142857
364 491 0.166667
364 134 0.200000
364 15 0.250000
364 34 0.333333
468 476 0.142857
468 336 0.200000
468 88 0.333333
468 42 0.166667
468 186 0.250000
468 232 0.250000
434 310 0.166667
434 228 0.111111
434 29 0.142857
434 329 0.166667
310 387 0.200000
310 354 0.200000
310 311 0.200000
310 57 0.090909
310 402 0.142857
310 157 0.250000
100 305 0.250000
100 487 0.166667
100 169 0.125000
100 456 0.200000
100 61 0.333333
100 5 0.500000
305 161 0.200000
305 99 0.166667
305 89 0.200000
210 304 0.125000
210 462 0.166667
210 269 0.250000
210 36 0.125000
210 320 0.125000
304 239 0.333333
304 131 0.200000
304 86 0.125000
304 334 0.125000
304 11 0.250000
304 85 0.200000
304 227 0.200000
417 18 0.111111
417 360 0.111111
417 143 0.333333
417 425 0.200000
167 300 0.142857
167 334 0.125000
372 431 0.200000
372 36 0.125000
372 455 1.000000
410 230 0.142857
410 236 0.100000
410 2 0.250000
410 206 0.250000
410 276 0.111111
410 112 1.000000
230 153 0.090909
230 210 0.166667
230 369 0.333333
230 126 0.333333
21 142 0.100000
21 443 0.142857
21 490 0.125000
21 436 0.333333
142 177 0.200000
142 129 0.111111
142 311 0.200000
142 250 0.125000
142 134 0.200000
142 359 0.250000
142 225 0.200000
142 497 0.166667
342 117 0.200000
342 184 0.333333
342 126 0.333333
342 484 0.111111
342 18 0.111111
342 41 0.100000
342 100 0.200000
274 203 0.111111
274 48 0.083333
274 353 0.166667
274 106 0.125000
274 97 0.100000
274 487 0.166667
274 57 0.090909
274 295 0.200000
274 226 0.125000
203 160 0.142857
203 99 0.166667
203 328 0.166667
203 238 0.250000
203 437 0.142857
201 251 0.111111
201 405 0.250000
201 498 0.250000
201 53 0.250000
201 451 0.125000
286 150 0.200000
286 452 0.333333
286 24 0.333333
286 6 0.333333
286 169 0.125000
286 74 1.000000
286 468 0.166667
286 242 0.125000
150 422 0.166667
150 367 0.166667
150 364 0.100000
150 334 0.125000
60 265 0.200000
60 176 0.125000
60 146 0.142857
60 339 0.250000
60 360 0.111111
38 106 0.125000
38 384 1.000000
38 364 0.100000
38 128 0.200000
38 182 0.250000
38 324 0.200000
38 41 0.100000
106 117 0.200000
106 339 0.250000
106 383 0.200000
106 337 0.200000
106 458 0.200000
293 483 0.125000
293 42 0.166667
293 45 0.333333
293 309 0.125000
483 132 0.200000
483 327 0.250000
483 235 0.142857
483 377 0.166667
483 402 0.142857
483 241 0.166667
287 90 0.100000
287 241 0.166667
287 56 0.200000
287 459 0.090909
287 58 0.166667
287 96 0.250000
287 335 0.250000
287 457 0.200000
90 28 0.125000
90 260 0.200000
90 155 0.250000
90 457 0.200000
90 89 0.200000
90 410 0.333333
90 340 0.125000
90 263 0.200000
354 431 0.200000
354 90 0.100000
354 477 0.142857
354 304 0.125000
169 165 0.166667
169 303 0.166667
169 241 0.166667
169 305 0.250000
169 349 0.500000
169 317 0.166667
169 212 0.250000
165 383 0.200000
165 376 0.166667
165 81 0.125000
220 155 0.250000
220 441 0.333333
220 236 0.100000
220 80 0.142857
220 39 0.333333
220 370 0.166667
220 124 0.142857
220 351 0.333333
220 61 0.333333
220 387 0.200000
220 317 0.166667
220 242 0.125000
155 182 0.250000
155 360 0.111111
155 142 0.100000
155 249 0.500000
155 236 0.100000
160 403 0.166667
160 375 0.142857
160 475 0.200000
160 163 1.000000
160 1 0.333333
160 105 0.125000
160 418 0.200000
160 245 0.142857
160 119 0.200000
133 440 0.200000
133 300 0.142857
133 94 0.142857
133 411 0.166667
133 251 0.111111
133 128 0.200000
402 15 0.250000
402 36 0.125000
402 111 0.200000
402 16 0.250000
402 388 0.500000
402 478 0.111111
402 179 0.125000
402 300 0.142857
402 412 0.111111
56 234 0.250000
56 342 0.166667
56 320 0.125000
56 348 0.333333
56 470 0.125000
56 400 0.111111
56 438 0.166667
56 240 0.250000
234 500 0.166667
234 214 0.125000
234 462 0.166667
234 3 0.142857
234 215 0.142857
192 500 0.166667
192 270 0.111111
192 251 0.111111
192 490 0.125000
192 196 0.090909
192 286 0.142857
192 166 0.166667
500 95 0.142857
500 258 0.250000
500 97 0.100000
500 8 0.125000
500 110 0.090909
500 145 0.333333
239 427 0.200000
239 144 0.250000
239 93 0.200000
239 243 0.333333
184 124 0.142857
184 218 0.250000
184 108 0.250000
184 439 0.200000
184 103 0.200000
184 460 0.200000
204 219 0.200000
204 276 0.111111
204 261 0.125000
204 91 0.500000
204 386 0.125000
204 241 0.166667
204 217 0.100000
219 60 0.166667
219 297 0.166667
219 392 0.166667
102 130 0.125000
102 366 0.200000
102 240 0.250000
102 215 0.142857
102 52 0.166667
102 457 0.200000
102 11 0.250000
130 414 0.333333
130 476 0.142857
130 478 0.111111
130 387 0.200000
130 327 0.250000
278 146 0.142857
278 431 0.200000
278 496 0.111111
278 137 0.166667
278 323 0.125000
278 130 0.125000
278 305 0.250000
85 282 0.142857
85 279 0.142857
85 416 0.250000
85 487 0.166667
134 48 0.083333
134 41 0.100000
134 450 0.100000
134 131 0.200000
134 399 0.200000
48 270 0.111111
48 357 0.142857
48 21 0.125000
48 438 0.166667
48 206 0.250000
48 392 0.166667
48 79 0.250000
48 113 0.125000
240 381 0.100000
240 451 0.125000
240 128 0.200000
240 44 0.250000
240 395 0.250000
381 153 0.090909
381 477 0.142857
161 272 0.200000
161 103 0.200000
161 149 0.250000
161 144 0.250000
161 381 0.100000
272 66 0.200000
272 59 0.166667
272 193 0.166667
272 242 0.125000
272 496 0.111111
370 119 0.200000
370 496 0.111111
370 412 0.111111
370 32 0.333333
119 490 0.125000
119 251 0.111111
119 463 0.200000
51 64 0.166667
51 282 0.142857
51 345 0.200000
480 233 0.100000
480 81 0.125000
480 222 0.200000
480 495 0.142857
480 342 0.166667
480 115 0.200000
480 213 0.166667
480 497 0.166667
233 382 0.125000
233 161 0.200000
233 440 0.200000
233 442 0.250000
233 170 0.166667
233 97 0.100000
233 42 0.166667
292 310 0.166667
292 419 0.166667
292 237 0.333333
292 401 0.200000
292 371 0.500000
292 493 0.142857
292 407 0.142857
292 265 0.200000
292 200 0.166667
292 447 0.125000
292 59 0.166667
76 90 0.100000
76 247 0.166667
76 360 0.111111
76 99 0.166667
76 332 0.250000
76 149 0.250000
89 165 0.166667
89 130 0.125000
89 36 0.125000
89 413 0.200000
89 379 0.200000
89 198 0.166667
65 144 0.250000
65 352 0.142857
65 117 0.200000
65 433 0.111111
311 386 0.125000
311 235 0.142857
311 276 0.111111
311 80 0.142857
311 390 0.250000
311 47 0.166667
334 338 0.250000
334 119 0.200000
334 256 0.500000
334 361 0.200000
334 364 0.100000
338 438 0.166667
338 161 0.200000
338 25 1.000000
338 181 0.250000
338 312 0.166667
338 447 0.125000
88 489 0.333333
88 153 0.090909
88 334 0.125000
88 200 0.166667
88 336 0.200000
88 175 0.200000
88 281 0.250000
88 316 0.200000
88 211 0.333333
489 361 0.200000
218 445 0.500000
218 261 0.125000
218 19 0.100000
218 76 0.166667
103 441 0.333333
103 65 0.333333
103 31 0.333333
103 214 0.125000
103 374 0.333333
441 434 0.250000
441 217 0.100000
441 408 0.142857
441 442 0.250000
41 264 0.333333
41 213 0.166667
41 101 0.333333
41 296 0.200000
41 233 0.100000
41 281 0.250000
41 181 0.250000
461 385 0.166667
461 462 0.166667
461 79 0.250000
491 450 0.100000
491 421 0.142857
491 19 0.100000
491 386 0.125000
491 375 0.142857
491 259 0.200000
491 150 0.200000
491 173 0.333333
491 96 0.250000
491 476 0.142857
491 315 0.250000
450 9 0.142857
450 83 0.250000
450 410 0.333333
450 223 0.142857
450 219 0.200000
80 467 0.200000
80 478 0.111111
80 52 0.166667
80 323 0.125000
80 302 0.333333
80 238 0.250000
80 48 0.083333
80 307 0.166667
80 279 0.142857
99 68 0.333333
99 75 0.125000
99 246 0.333333
99 136 0.200000
99 195 0.200000
99 460 0.200000
99 184 0.333333
99 427 0.200000
99 66 0.200000
99 496 0.111111
302 80 0.142857
302 122 0.200000
302 23 0.142857
302 191 0.142857
302 146 0.142857
32 60 0.166667
32 375 0.142857
32 42 0.166667
32 213 0.166667
32 230 0.142857
32 353 0.166667
32 312 0.166667
433 230 0.142857
433 388 0.500000
433 49 0.500000
433 417 0.200000
433 473 0.250000
433 232 0.250000
433 171 0.200000
433 208 0.166667
320 274 0.166667
320 345 0.200000
320 203 0.111111
320 181 0.250000
320 81 0.125000
320 207 0.142857
320 189 0.250000
149 364 0.100000
149 433 0.111111
149 336 0.200000
149 21 0.125000
71 500 0.166667
71 426 0.250000
71 493 0.142857
71 464 0.200000
71 304 0.125000
71 306 0.250000
71 194 0.142857
71 363 0.111111
444 335 0.250000
444 347 0.142857
444 474 0.125000
444 272 0.200000
444 41 0.100000
444 340 0.125000
444 157 0.250000
335 346 0.200000
335 369 0.333333
335 355 0.250000
335 160 0.142857
275 314 0.250000
275 280 0.250000
275 62 0.200000
275 170 0.166667
275 350 0.200000
275 267 0.250000
275 409 0.333333
275 195 0.200000
275 97 0.100000
314 124 0.142857
314 84 0.500000
314 387 0.200000
314 337 0.200000
79 321 0.166667
79 46 0.333333
79 257 0.250000
79 407 0.142857
79 105 0.125000
79 222 0.200000
79 208 0.166667
321 421 0.142857
321 235 0.142857
321 454 0.125000
321 339 0.250000
321 228 0.111111
321 142 0.100000
31 260 0.200000
31 153 0.090909
31 142 0.100000
31 377 0.166667
31 226 0.125000
31 246 0.333333
31 7 1.000000
31 47 0.166667
31 61 0.333333
301 262 0.166667
301 110 0.090909
262 412 0.111111
262 13 0.125000
262 419 0.166667
262 95 0.142857
330 202 0.333333
330 443 0.142857
330 328 0.166667
330 102 0.142857
330 166 0.166667
330 110 0.090909
330 160 0.142857
473 274 0.166667
115 411 0.166667
115 210 0.166667
115 339 0.250000
115 24 0.333333
115 54 0.250000
115 252 0.250000
115 413 0.200000
115 99 0.166667
303 67 0.500000
303 11 0.250000
303 168 0.125000
303 307 0.166667
303 189 0.250000
67 304 0.125000
67 468 0.166667
67 247 0.166667
388 429 0.250000
388 359 0.250000
388 236 0.100000
388 123 0.200000
178 484 0.111111
178 156 0.250000
178 174 0.166667
178 208 0.166667
178 132 0.200000
18 381 0.100000
18 402 0.142857
18 51 0.142857
18 168 0.125000
18 472 0.250000
446 201 0.166667
446 396 0.333333
446 367 0.166667
446 138 0.333333
446 363 0.111111
366 100 0.200000
366 432 0.200000
366 76 0.166667
366 424 0.200000
366 115 0.200000
366 422 0.166667
39 9 0.142857
39 71 0.166667
39 201 0.166667
39 493 0.142857
39 162 0.200000
39 129 0.111111
39 110 0.090909
39 113 0.125000
384 162 0.200000
384 172 0.142857
384 494 0.111111
162 322 0.250000
162 443 0.142857
162 159 0.200000
458 213 0.166667
458 142 0.100000
458 59 0.166667
458 409 0.333333
458 252 0.250000
458 381 0.100000
458 129 0.111111
458 43 0.500000
458 21 0.125000
458 123 0.200000
213 261 0.125000
213 186 0.250000
213 496 0.111111
213 193 0.166667
213 422 0.166667
368 95 0.142857
368 302 0.333333
95 340 0.125000
95 403 0.166667
315 331 0.500000
315 296 0.200000
315 418 0.200000
315 233 0.100000
315 443 0.142857
315 138 0.333333
315 50 0.200000
315 40 0.250000
315 194 0.142857
438 374 0.333333
438 243 0.333333
374 247 0.166667
374 311 0.200000
374 469 0.250000
374 286 0.142857
374 300 0.142857
374 307 0.166667
154 113 0.125000
154 57 0.090909
154 71 0.166667
154 363 0.111111
154 380 0.200000
154 270 0.111111
154 121 0.250000
154 268 0.250000
154 312 0.166667
430 268 0.250000
430 276 0.111111
430 86 0.125000
430 347 0.142857
493 330 0.111111
493 400 0.111111
493 113 0.125000
493 207 0.142857
493 21 0.125000
493 267 0.250000
54 271 0.200000
54 447 0.125000
54 90 0.100000
54 4 0.250000
54 107 0.500000
54 226 0.125000
54 59 0.166667
54 124 0.142857
271 143 0.333333
271 177 0.200000
271 276 0.111111
271 127 0.200000
4 278 0.200000
4 95 0.142857
4 54 0.250000
53 94 0.142857
53 177 0.200000
53 347 0.142857
53 476 0.142857
53 27 0.500000
53 383 0.200000
385 131 0.200000
385 12 0.142857
385 421 0.142857
385 375 0.142857
385 80 0.142857
131 168 0.125000
131 315 0.250000
131 169 0.125000
131 55 0.333333
131 219 0.200000
387 207 0.142857
387 10 0.125000
207 75 0.125000
207 42 0.166667
207 225 0.200000
207 336 0.200000
207 382 0.125000
129 217 0.100000
129 373 0.333333
129 222 0.200000
129 164 0.250000
129 38 0.200000
129 274 0.166667
129 3 0.142857
129 210 0.166667
129 372 0.333333
217 191 0.142857
217 62 0.200000
217 272 0.200000
217 420 1.000000
217 153 0.090909
217 231 0.250000
279 9 0.142857
279 151 0.333333
279 132 0.200000
279 137 0.166667
279 102 0.142857
279 287 0.200000
279 389 0.200000
257 383 0.200000
257 133 0.166667
226 31 0.333333
226 490 0.125000
226 151 0.333333
226 128 0.200000
226 106 0.125000
195 338 0.250000
195 382 0.125000
195 375 0.142857
195 141 0.200000
195 13 0.125000
195 366 0.200000
264 351 0.333333
264 307 0.166667
264 382 0.125000
351 308 0.200000
351 28 0.125000
351 352 0.142857
351 18 0.111111
351 488 0.333333
172 484 0.111111
172 304 0.125000
403 224 0.250000
403 422 0.166667
403 278 0.200000
403 322 0.250000
403 75 0.125000
224 470 0.125000
224 215 0.142857
224 93 0.200000
224 469 0.250000
224 236 0.100000
224 471 0.333333
420 461 0.333333
420 364 0.100000
420 14 0.166667
420 459 0.090909
199 337 0.200000
199 321 0.166667
199 81 0.125000
337 412 0.111111
337 364 0.100000
337 77 0.200000
337 242 0.125000
337 482 0.250000
337 203 0.111111
337 102 0.142857
428 122 0.200000
428 2 0.250000
428 423 0.250000
428 130 0.125000
428 450 0.100000
428 224 0.250000
428 275 0.142857
428 169 0.125000
428 361 0.200000
122 499 0.166667
122 458 0.200000
122 251 0.111111
26 152 0.333333
26 272 0.200000
26 176 0.125000
26 142 0.100000
152 437 0.142857
152 356 0.500000
152 366 0.200000
152 86 0.125000
152 105 0.125000
225 57 0.090909
225 426 0.250000
225 48 0.083333
225 100 0.200000
225 323 0.125000
225 307 0.166667
225 452 0.333333
443 121 0.250000
443 196 0.090909
443 363 0.111111
443 258 0.250000
443 324 0.200000
443 233 0.100000
443 130 0.125000
443 295 0.200000
443 63 0.200000
121 479 0.200000
121 242 0.125000
121 273 0.166667
121 282 0.142857
121 353 0.166667
81 393 0.333333
81 89 0.200000
81 169 0.125000
81 226 0.125000
81 478 0.111111
81 250 0.125000
81 404 0.250000
81 270 0.111111
81 93 0.200000
81 20 0.166667
24 150 0.200000
24 85 0.200000
24 108 0.250000
24 364 0.100000
276 269 0.250000
276 344 0.250000
276 19 0.100000
276 23 0.142857
276 85 0.200000
276 421 0.142857
456 93 0.200000
456 240 0.250000
456 70 0.142857
456 367 0.166667
481 346 0.200000
481 16 0.250000
481 103 0.200000
481 142 0.100000
481 310 0.166667
481 233 0.100000
481 265 0.200000
151 482 0.250000
151 70 0.142857
151 111 0.200000
151 29 0.142857
151 394 0.333333
482 485 0.250000
482 454 0.125000
482 226 0.125000
482 468 0.166667
482 39 0.333333
197 486 0.250000
197 451 0.125000
197 382 0.125000
197 208 0.166667
197 66 0.200000
197 347 0.142857
197 368 0.200000
486 133 0.166667
486 413 0.200000
486 363 0.111111
486 354 0.200000
486 230 0.142857
486 65 0.333333
486 483 0.125000
486 385 0.166667
486 10 0.125000
268 475 0.200000
268 495 0.142857
268 276 0.111111
268 31 0.333333
268 214 0.125000
268 164 0.250000
268 157 0.250000
268 314 0.250000
467 57 0.090909
467 440 0.200000
467 300 0.142857
467 334 0.125000
421 340 0.125000
421 180 0.250000
421 494 0.111111
421 483 0.125000
421 104 0.250000
421 193 0.166667
421 274 0.166667
421 48 0.083333
297 329 0.166667
297 58 0.166667
297 224 0.250000
297 442 0.250000
297 92 0.200000
297 482 0.250000
273 259 0.200000
273 278 0.200000
259 292 1.000000
259 286 0.142857
259 121 0.250000
259 279 0.142857
414 253 0.333333
414 14 0.166667
382 450 0.100000
382 491 0.166667
382 48 0.083333
382 285 0.333333
412 199 0.200000
412 345 0.200000
412 111 0.200000
412 289 0.333333
412 118 0.250000
412 458 0.200000
185 490 0.125000
185 291 0.250000
185 199 0.200000
185 177 0.200000
367 446 0.250000
367 494 0.111111
449 283 0.166667
449 94 0.142857
449 379 0.200000
449 10 0.125000
449 297 0.166667
449 64 0.166667
418 52 0.166667
418 189 0.250000
52 80 0.142857
52 46 0.333333
52 346 0.200000
104 350 0.200000
104 439 0.200000
104 118 0.250000
104 178 0.500000
104 419 0.166667
350 164 0.250000
350 483 0.125000
350 334 0.125000
158 474 0.125000
158 432 0.200000
474 106 0.125000
474 300 0.142857
474 107 0.500000
474 431 0.200000
474 454 0.125000
474 443 0.142857
474 407 0.142857
253 173 0.333333
253 492 0.333333
253 319 0.333333
253 3 0.142857
253 301 0.166667
253 174 0.166667
253 114 0.166667
253 493 0.142857
253 70 0.142857
409 200 0.166667
409 226 0.125000
409 176 0.125000
409 488 0.333333
409 205 0.333333
191 194 0.142857
191 431 0.200000
191 19 0.100000
191 201 0.166667
191 403 0.166667
191 150 0.200000
194 470 0.125000
194 433 0.111111
194 250 0.125000
194 26 0.166667
193 496 0.111111
193 55 0.333333
193 487 0.166667
193 113 0.125000
193 82 0.250000
193 223 0.142857
193 422 0.166667
193 419 0.166667
401 35 0.250000
401 69 1.000000
401 56 0.200000
401 390 0.250000
